age,income,tenure_months,monthly_spend,support_tickets,satisfaction_score,login_frequency,avg_session_minutes,region,contract,payment_method,device,churn
22,18000.0,26,105.50886188439164,4,8.01484462822699,16.66697926458285,3.0,North,Annual,Card,iOS,1
58,34683.79590934694,20,57.660655337989844,1,6.936330421771918,15.721127899851815,19.069997236485012,East,Annual,Bank Transfer,iOS,0
52,25166.389040431313,8,136.9428625309703,1,7.184771576124955,5.7713910537619295,21.96706729447902,West,Monthly,,Web,1
40,18000.0,30,101.08904296624819,0,7.911342777445523,18.428772751793954,17.975286081336876,South,Monthly,Card,Web,1
40,38702.10256544174,49,73.42483676165135,2,9.598903481778173,21.657184028466506,41.54244754121707,South,Monthly,UPI,iOS,1
62,94149.02494639588,17,64.95189984084107,5,6.486400299810839,18.47326159144744,38.41908506590055,East,Annual,UPI,Android,1
22,64022.4043105042,26,92.70351344541571,0,5.208259405632388,30.384044204134415,31.295305603090874,North,Monthly,Card,iOS,1
54,93392.40277106583,2,34.868227454846355,3,7.046251750110856,10.96806498619014,13.672059105348604,South,Annual,Card,Web,0
28,74041.61669181926,5,105.99019826058588,0,10.0,13.372273981743957,39.29273794268909,South,Annual,UPI,Web,1
22,82216.2941657335,15,56.392875559179195,4,5.22646905067174,18.93113296978569,27.570722249413308,South,Monthly,Card,Web,1
45,45180.26610329935,44,96.1182432647286,0,8.305230682486483,19.70636767134702,13.522183062222899,North,Annual,Card,iOS,0
68,76526.92099223875,64,69.35138987925521,2,9.168452489784695,4.6915396248160945,22.294452201666182,East,Two Year,Bank Transfer,iOS,0
56,81031.71314963562,75,77.06743861825889,2,3.1785918270297575,22.21888599912922,30.627173681843196,South,Monthly,UPI,Android,1
57,52313.759570858754,60,62.29270381704805,0,7.897378290134425,19.73821787688919,16.610090434219224,South,Monthly,Card,iOS,0
55,77309.88815355566,59,80.16311706457596,3,8.225798083024262,3.1642493931683617,23.264792992055124,West,Monthly,Wallet,Android,1
58,77456.13068864633,89,141.68138638052062,1,6.745530157654248,17.18303511780555,24.848287394621433,North,Annual,Bank Transfer,Web,1
44,52909.84233513818,25,126.55178881145922,4,6.101054446147481,12.340209346429326,12.092312186140006,North,Two Year,Wallet,Android,0
24,40299.094490038115,76,95.6343686498637,3,6.195874000709233,14.826737149803469,19.569164370178886,West,Annual,UPI,Web,1
61,38949.17669823801,90,84.24117203305143,2,6.641433557011444,8.633294507254961,12.770836824611301,North,Two Year,Card,iOS,0
41,66903.12192227216,54,110.32603572078655,3,6.68643674613078,20.913320750715005,29.81801214136047,West,Annual,Card,Android,1
44,72194.21711336492,80,118.89911182322669,6,6.3656790273134956,30.332434663991585,13.827501169805066,East,Monthly,Wallet,iOS,1
37,47564.431729925884,14,60.10544853377412,1,6.614392070439843,19.85516501919198,24.62623333718251,South,Monthly,Bank Transfer,iOS,0
27,65584.87750917417,84,82.67683397103393,3,,2.884311287654473,9.48859763445762,South,Annual,Bank Transfer,iOS,1
66,77551.81479504668,54,30.341253112957588,1,5.13547107584427,19.99917226132959,11.79906805172821,South,Annual,UPI,iOS,0
58,78600.19572263662,22,118.69306330782685,2,4.226600680438296,16.637528454606752,11.363069117463866,West,Annual,Card,iOS,0
51,99141.36264269474,6,146.95072773102567,2,9.251534682298336,10.292912256721278,19.393823615079278,North,Annual,Bank Transfer,Android,1
38,93093.57830835695,69,87.40247873869257,1,6.87356980912101,20.47536681973719,23.62343457973415,West,Monthly,Card,Web,0
60,42971.588479356025,41,21.24969625290951,1,6.5400051027796895,24.15835309689149,25.28279765672468,West,Monthly,UPI,Web,1
46,102038.89660983649,30,103.26671549731094,3,7.010930889654463,13.320545626748036,6.049883814607352,East,Annual,UPI,iOS,1
41,53318.51689977427,38,57.87732501552759,1,7.555770391324516,6.493870324316763,20.482245543732997,North,Annual,Bank Transfer,Android,0
41,87987.2018739974,95,65.0995167500662,3,6.309112913898779,3.9182943231999143,15.244851012609082,East,Annual,UPI,iOS,0
29,66495.70577312395,41,103.79729169373012,2,8.060082917000415,13.340204344902745,26.80760643493232,East,Monthly,Bank Transfer,Android,0
22,55932.71367394671,8,92.63662376538173,1,5.564153624524876,16.911475715181332,19.591273020286643,North,Two Year,Card,Web,0
46,25230.669084951478,27,70.35673673984195,4,6.6868954976563835,14.387961054537646,21.27252094943362,West,Monthly,Card,Android,1
64,61225.58077524034,14,65.51183102195007,1,3.435016366015921,13.217025351363326,15.295459553472462,,Monthly,Card,Android,1
21,30693.568823276604,66,88.77508165662498,3,9.192803129268418,21.975296689897085,37.521829386314494,West,Annual,Card,Android,0
62,86280.58318854099,77,72.71603342462898,2,6.90065091584863,21.23978232302147,10.447785190901183,North,Two Year,Card,iOS,0
61,98369.43845706346,80,51.72288599190978,2,8.33917695595317,19.397153819321346,18.40239408649994,North,Two Year,Card,iOS,0
32,47467.95823547282,61,75.0231045556492,2,8.010176793252626,23.71541449040874,22.968386079456714,East,Monthly,UPI,iOS,0
50,71643.35633542396,74,95.18777869765552,2,8.134683426631248,13.40584853043277,19.737755840062928,North,Monthly,UPI,Android,1
26,49041.38651582454,40,79.656895995411,2,7.186781601423611,10.338085354590024,15.12457615563815,North,Annual,,Web,0
57,51173.335936990625,60,42.594742052554444,6,7.859986567656597,14.343664280408397,5.694848172297334,North,Annual,Bank Transfer,Android,0
54,82038.88348503817,11,114.67193864126618,5,5.565816498559695,13.860880598227604,15.776419441974177,West,Annual,Card,Android,1
36,64152.15823944492,52,20.0,1,5.208996454409455,3.6409738076708145,13.365536426489225,North,Monthly,Card,iOS,0
21,103272.25692248225,53,71.60904534914694,0,7.028119913041067,14.181019523171205,37.11302133441732,East,Annual,Card,iOS,1
68,54390.88546853574,3,66.39404636338253,2,6.044380153327198,25.733953886275575,42.38226335738247,East,Monthly,Card,iOS,0
41,86985.39931443876,53,89.44536633614244,2,9.623289094524026,23.605974014325035,21.542874898039575,South,Monthly,UPI,Android,0
64,67143.09508507121,69,101.84985423408206,1,7.8377455298220875,21.67628699869256,9.357191137307893,South,Annual,Bank Transfer,iOS,0
53,82507.11621437313,35,118.80294424783105,4,5.9819816367950835,18.921326302658855,28.64239695141135,South,Monthly,Card,Android,1
58,,52,63.627853799435194,0,6.7383812545405135,28.142289682994218,13.170311578138914,West,Annual,UPI,iOS,0
57,63909.70557386518,28,102.59747012000446,0,7.426111189379769,10.578824735924272,17.057460517648003,West,Annual,Card,Android,0
28,62459.02465542343,26,90.87455163644384,3,7.084394974546841,11.246210146259934,16.340353949350394,West,Monthly,,iOS,1
36,46606.74347339268,13,33.6538187445033,3,7.661968255988251,25.87006691581973,17.49544905816437,East,Monthly,Bank Transfer,Android,0
42,79565.79376079855,32,142.0162076630233,2,7.316712725585924,18.19323427787096,18.807517736583243,West,Two Year,UPI,Android,0
43,79305.47812272402,77,41.836746182794016,5,4.835883527600864,13.30175185069075,10.178482456036615,West,Annual,Bank Transfer,Android,1
20,78058.20328792247,89,97.58491816929146,2,3.5434622352433522,21.86347238729529,15.681877045062159,South,Two Year,Bank Transfer,iOS,0
46,98813.24438618819,61,96.69879832593243,3,6.564864623683616,14.930731268184104,31.179498230770918,West,Monthly,UPI,Android,1
26,96885.58562719868,60,93.2691034698723,2,8.152837598667208,12.137321531690857,21.697987536632603,North,Annual,Card,iOS,0
56,56751.216823319024,59,70.16269353515177,2,6.583972641241916,11.942537309930369,23.127824573398936,North,Two Year,Bank Transfer,Android,0
